Kategori,Başlık,İçerik
Çevre,Mucize ağaç ardıcın üretimi 4 milyona dayandı,"Ardıç ağacı erozyonla mücadeleden hava temizliğine, endüstriyel kullanımdan tıbba kadar neredeyse her alanda işe yarıyor ancak suni yollarla üretilmesi en zor ağaçlardan biri. İlk olarak 2004 yılında bunu başaran Tarım ve Orman Bakanlığı’nın 2023 üretimi 4 milyona yaklaştı."
Çevre,Bakan Yumaklı: Yangına ilk müdahale süremizi 40 dakikadan 11 dakikaya kadar düşürdük,"Tarım ve Orman Bakanı İbrahim Yumaklı, ""Yangına ilk müdahale süremizi 40 dakikadan 11 dakikaya kadar düşürdük. Hedefimiz bu yıl 10 dakika"" dedi."
Çevre,"Türkiye, uzun dönemli iklim değişikliği stratejisini açıklamaya hazırlanıyor","Türkiye, Çevre, Şehircilik ve İklim Değişikliği Bakan Yardımcısı ve İklim Başmüzakerecisi Fatma Varank, ""2053 net sıfır hedefimizi gerçekleştirmeye yönelik uzun dönemli iklim değişikliği stratejimizi hazırlıyoruz ve bu sene COP29 öncesinde tamamlayarak Bakü’de bu yol haritamızı açıklamak istiyoruz"" dedi."
ÖZEL HABER,İstanbul’da üretilen sülünler doğaya kazandırılıyor,Tarım ve Orman Bakanlığı Doğa Koruma ve Milli Parklar 1. Bölge Müdürlüğü’ne bağlı olan sülün üretim istasyonunda her yıl binlerce sülün doğaya kazandırılıyor.
Çevre,Kıyı erozyonu Kızılırmak Deltası'nın geleceğini tehdit ediyor,"Ondokuz Mayıs Üniversitesi (OMÜ) İnsan ve Toplum Bilimleri Fakültesi Coğrafya Bölümü Öğretim Üyesi Prof. Dr. Ali Uzun, kıyı erozyonunun Kızılırmak Deltası'nın geleceğini tehdit ettiğini söyledi."
Çevre,İstanbul Boğazı’ndaki yunusları ne kadar tanıyoruz?,"İstanbul Boğazı’nda yunuslar, özellikle de bahar aylarında sıklıkla görülebiliyor. Göç eden balık sürülerini takip eden bu sevimli deniz canlıları, İstanbullulara ve yolu İstanbul’dan geçenlere keyifli anlar yaşatıyor. Biz hepsini aynı gibi görsek de aslında İstanbul’da en çok 3 tür yunus kendisini gösteriyor."
Çevre,Fukuşima'daki atık suyun boşaltımında 2024 mali yılının ilk evresi tamamlandı,Japonya'da Fukuşima Dai-içi Nükleer Santrali'nde biriken radyoaktif özellikli işlenmiş atık suyun okyanusa boşaltımında 2024 mali yılının ilk evresi sona erdi.
Çevre,ABD'nin orta kesimlerinde etkili fırtına nedeniyle acil durum ilan edildi,ABD'nin orta kesimlerinde etkili şiddetli fırtına nedeniyle çok sayıda bölgede uyarı yapıldı ve acil durum ilan edildi.
Çevre,"Japonya'dan, kırılgan ülkelerin iklim değişikliğiyle mücadelesi için 160 milyar yen katkı","Japonya, ""düşük gelirli ve kırılgan ülkelerin"" iklim değişikliğiyle mücadelesi için Asya Kalkınma Bankası (ADB) fonuna 162 milyar yen (1 milyar dolar) sağlayacak."
ÖZEL HABER,Orman yangınıyla mücadelede 'yapay zekâ' dönemi,"Türkiye’de orman yangınlarına müdahaleyi 11 dakikaya indiren merkez, mücadelesini yapay zekâ desteği ile sürdürüyor. Uydu, İHA ve yangın kulesi kameralarından alınan görüntüler, meteorolojik verilerle birleştirilerek yangın riski, yangının ilerlemesi ve etkileyeceği alan hesaplanıp daha yangın çıkmadan riskli bölgeye ekipler yönlendiriliyor."
Çevre,"Kirlilikle savaşan Marmara Denizi ""pina cenneti"" oldu","Akdeniz havzasını terk ederek Marmara Denizi’ni yeni adresi haline getiren pinaların deniz temizliği için önemi büyük. Zira, deniz suyunu doğal olarak filtreleyerek temizleyen bir yapıları var. Dünyada pina popülasyonunun büyük bir kısmı Marmara Denizi'nde bulunuyor. Bu durum kirlilikle mücadele eden Marmara için umut anlamına geliyor."
Çevre,Türkiye'deki atık su arıtma tesisi sayısı 1213'e ulaştı,"Çevre, Şehircilik ve İklim Değişikliği Bakanı Mehmet Özhaseki, 1213 atık su arıtma tesisi ile ülke nüfusunun yüzde 90,6'sına hizmet verildiğini açıkladı."
Çevre,İklim değişikliği meyvede rekolte kaybına neden oluyor,"Uzmanlar, sıcaklık artışı, kuraklık, mevsim dengesizlikleri gibi sorunların, meyve ağaçlarında erken çiçeklenmeye ve buna bağlı olarak verim kaybı ile ürün kalitesinde düşüşe yol açtığı uyarısında bulunuyor."
Çevre,Fukuşima'da elektrik kesintisi sonrası atık su tahliyesi yeniden başladı,Japonya'da Fukuşima Dai-içi Nükleer Güç Santrali'nde elektrik kesintisi nedeniyle durdurulan atık su tahliyesinin yeniden başladığı bildirildi.
Çevre,Hem insana hem çevreye zarar: Plastik ve atık fabrikalarındaki yangınlar,"Plastik ve geri dönüşüm fabrikalarındaki yangınların verdiği hasar, sadece tesislerin kül olmasıyla sınırlı kalmıyor. Çevre ve insan sağlığına uzun yıllar zarar veriyor. Yangınlarda oluşan o yoğun duman tabakaları, geleceğimizi de gölgede bırakıyor."
Çevre,"Uluslararası Atom Enerjisi Ajansı, Fukuşima'daki atık su tahliyesini ikinci kez denetliyor","Uluslararası Atom Enerjisi Ajansı (UAEA), Fukuşima Dai-içi Nükleer Santrali'nde (NGS) biriken atık suyun okyanusa tahliyesine yönelik ikinci denetlemesine başladı."
Çevre,Avrupa 2023'te olağan dışı hava olaylarıyla karşılaştı,"Avrupa Birliği'nin (AB) Copernicus uydu izleme sistemiyle yapılan ölçümlere göre, 2023 yılı Avrupa'da yangınlardan sellere olağan dışı hava olaylarının yaşandığı, yüksek ekonomik maliyetlere yol açan bir yıl oldu."
Çevre,Havayı kirleten tesislere 110 milyon lira idari para cezası uygulandı,"Çevre, Şehircilik ve İklim Değişikliği Bakanlığınca geçen yıl yapılan hava kirliliğinin önlenmesine yönelik denetimlerde, Çevre Kanunu'na aykırı faaliyette bulunan 496 tesise toplam 110 milyon lira idari para cezası kesildi, çevre kirliliği oluşturan 86 işletmeye de faaliyeti durdurma cezası verildi."
Çevre,Yavru kuş bulduğunuzda ne yapmalısınız?,"Bugünlerde ormanda, parkta, bahçede ya da balkonunuzda kuşları daha sık görebilir, yuva yaptıklarına tanıklık edebilirsiniz. Çünkü onlar için yavrulama dönemi başladı. Çoğu kişi tek başına, savunmasız ve yardıma muhtaç halde görülen yavrulara koruma duygusuyla müdahale edilebiliyor. Uzmanlar ise bunun kuşlara zarar verdiğini söylüyor."
Çevre,Eğirdir Gölü 2028 yılında ikiye ayrılma tehlikesi yaşıyor,"Isparta’da bulunan Eğirdir Gölü, mevsimsel yağışların azlığı nedeniyle kuraklık tehlikesi ile karşı karşıya kaldı. 2028 yılında ikiye ayrılması tehlikesi yaşayan göl için proje hazırlanıyor."
Çevre,Marmara Denizi ölüyor mu?,"Marmara, eş zamanlı olarak birçok sorun yaşıyor. Hem deniz suyu sıcaklıkları artıyor hem kirliliğin önüne geçilemiyor. Son 30 metrede oksijenin olmaması denizanası gibi bazı türlerde popülasyon artışı yapıyor. Peki, Marmara Denizi ölüyor mu? Detaylar haberimizde…"
Çevre,İstanbul Havalimanı elektriğini güneşten karşılayan ilk havalimanı olacak,"İGA İstanbul Havalimanı, elektrik ihtiyacının tamamını Eskişehir'de kurulacak güneş enerjisi santralinden (GES) karşılayarak bu alanda bir ilke imza atacak."
ÖZEL HABER,Tarımda yeni akım: Tıbbi ve aromatik bitki yetiştiriciliği,"Son yıllarda, doğal ürünlere ilgi artıyor. Kimyasal içerikli ürünlerden kaçınma eğilimi, tıbbi ve aromatik bitkilere olan talebi katlıyor. Balıkesir Çiftçi Eğitim Merkezi, tıbbi ve aromatik bitki yetiştiriciliğiyle ilgilenenleri düzenlediği kurslarla bilinçlendiriyor."
Çevre,Denizcilik sektöründe biyoyakıt kullanılabilecek,"Biyoyakıt türlerinden biodizel, denizcilik sektöründe yakıt olarak kullanılabilecek."
Çevre,İtalyan adası bölgeyi ele geçiren keçileri sahiplendirmeye çalışıyor,"Yaban keçilerinin istila ettiği İtalyan adası Alicudi'nin belediye başkanı, hayvanları almak isteyen herkese, sayısı sınırı olmaksızın bedava vermeyi teklif etti."
