Kategori,Başlık,İçerik
Eğitim,Meslek liseliler geleceğe sahada hazırlanıyor,"Giresun'da tesisat ve motor alanlarında yetkili servis gibi çalışan meslek lisesi öğrencileri, teorik eğitimin yanındaki uygulamalarla geleceğe hazırlanıyor."
Eğitim,Atık koza ve deriden yapılan ürünlerin geliri 20 üniversiteli kıza burs olacak,Diyarbakır'da Kayapınar Kız Anadolu İmam Hatip Lisesi öğrencileri tarafından atık koza ve derilerden yapılan ürünlerin geliri üniversitede okuyan 20 kız öğrenciye ulaştırılacak.
Eğitim,"19 Mayıs Atatürk'ü Anma, Gençlik ve Spor Bayramı etkinliği TRT Bil Bakalım’da","19 Mayıs hakkında bilgilerini test etmek, yeni bilgiler öğrenmek ve eğlenmek isteyenlerin adresi olan TRT Bil Bakalım, kısa süreli yayınlanacak özel etkinlikle sevenlerinin karşısına çıkıyor. Sınırlı süreyle açılacak olan etkinliğe dair harika bir rozetin sahibi olabilir ve profilini 19 Mayıs ruhuyla süsleyebilirsin. Üstelik reklamsız ve ücretsiz."
Eğitim,"Öğretmenler, mesleki çalışma programına istedikleri illerde katılabilecek","Milli Eğitim Bakanlığı, öğretmenlerin 20-28 Haziran'daki mesleki çalışma programlarını bulundukları illerde yapabilmelerine imkan tanıdı."
Eğitim,20 bin öğretmen ataması için başvuru tarihleri belli oldu,"Milli Eğitim Bakanlığınca yapılacak 20 bin sözleşmeli öğretmen ataması için başvurular, 20-31 Mayıs tarihleri arasında elektronik ortamda alınacak."
Eğitim,Bursluluk sınavı sonuçları açıklandı,Milli Eğitim Bakanlığınca yapılan İlköğretim ve Ortaöğretim Kurumları Bursluluk Sınavı (İOKBS) sonuçları açıklandı.
DOSYA HABER,Okula erken başlamak DEHB riskini artırıyor,"Harvard Üniversitesi'nde yapılan bir çalışmaya göre, okul hayatına erken başlayan çocukların dikkat eksikliği ve hiperaktivite bozukluğu (DEHB) teşhisi alma ihtimali aynı sınıftaki kendilerinden daha büyük arkadaşlarına kıyasla yüzde 34 daha fazla. Peki, neden?"
Eğitim,"MEB ortaokul öğrencileri için ilk kez ""zanaat okulu"" açacak","Milli Eğitim Bakanlığı (MEB), temel meslek becerilerini keşfetmek isteyen ortaokul öğrencileri için bu yaz tatilinde ""zanaat atölyeleri"" olarak adlandırılan kurslar açacak. Uygulama ile meslek liselerinin kapıları, ilk kez ortaokul kademesindeki öğrenciler için de açık tutulmuş olacak."
Eğitim,DUS ve STS sonuçları açıklandı,"Ölçme, Seçme ve Merkezi Yerleştirme Başkanlığınca (ÖSYM) düzenlenen 2024 Diş Hekimliğinde Uzmanlık Eğitimi Giriş Sınavı (2024-DUS 1. Dönem) ve 2024 Diş Hekimliği Alanında Yurt Dışı Yükseköğretim Diploma Denkliği İçin Seviye Tespit Sınavı'nın (2024-STS Diş Hekimliği 1. Dönem) sonuçları açıklandı."
Eğitim,"ÖSYM, 18 Mayıs'ta iki sınav yapacak","Ölçme, Seçme ve Yerleştirme Merkezi Başkanlığınca (ÖSYM), Türkiye Yurt Dışından Öğrenci Kabul Sınavı (2024 TR-YÖS/1) ve Elektronik Yükseköğretim Kurumları Yabancı Dil Sınavı (e-YÖKDİL 2024/3 İngilizce-Fen Bilimleri) 18 Mayıs Cumartesi yapılacak."
Eğitim,Ankaralı öğrenciler Avrupa turuna çıktı,"Ankara Çankaya Ayhan Sümer Anadolu Lisesi öğrencileri, İsviçre'nin Zürih, Cenevre, Bern, Montreux ve Lozan şehirlerini ve İtalya'nın Milano ve Bologna şehirlerini gezdi."
Eğitim,Bakan Tekin: Öğretmenlik kanunu önümüzdeki hafta komisyon gündeminde görüşülür,"Milli Eğitim Bakanı Yusuf Tekin, Öğretmenlik Meslek Kanunu'nda yapılacak değişiklik teklifinin önümüzdeki hafta Meclis gündeminde olacağını söyledi. Sadece yasaların yeterli olmayacağını belirten Bakan Tekin, "" Toplumsal farkındalığı da geliştirmemiz gerekiyor"" dedi."
Eğitim,Bakan Tekin: Öğretmenlik Meslek Kanunu önümüzdeki hafta Meclis'e geliyor,"Milli Eğitim Bakanı Yusuf Tekin, Öğretmenlik Meslek Kanunu'nun haftaya Meclis’e geleceğini söyledi."
Eğitim,Lise öğrencileri nisan yağmurundan yoğurt mayası yaptı,"Trabzon'un Of ilçesindeki Şehit Ahmet Türkkan Çok Programlı Anadolu Lisesi Kütüphanecilik Kulübü üyesi öğrenciler, sosyal sorumluluk projesi kapsamında nisan yağmurundan yoğurt mayası yaptı."
Eğitim,Kamuda eğitim sertifikalarında blokzincir dönemi,"Kamu çalışanlarının bilgi, beceri ve yetkinliklerini belgelendirme süreci blokzincir teknolojisinden faydalanılarak dönüştürülüyor."
Eğitim,"""Türkçe Dört Beceri Sınavı"" tamamlandı","Milli Eğitim Bakanlığınca (MEB), beceri temelli yeni müfredatın odağında yer alan Türkçe dinleme/izleme, okuma, konuşma ve yazma becerilerinin ölçülmesi amacıyla uygulanan ve uluslararası geçerlik belgesine sahip izleme araştırması ""Türkçe Dört Beceri Sınavı"", 40 ilde 11 bine yakın öğrencinin katılımıyla tamamlandı."
Eğitim,YKS'ye girecek engelli adaylar için ek süre kararı,"Ölçme, Seçme ve Yerleştirme Merkezi Başkanlığı (ÖSYM), 8-9 Haziran'daki Yükseköğretim Kurumları Sınavı'nda (YKS) ek süreden faydalanma hakkı olmayan okuyucu veya işaretleyici yardımı alan engelli adayların tamamına 30 dakika ek süre verilmesini kararlaştırdı."
Eğitim,e-YÖKDİL sonuçları açıklandı,Elektronik Yükseköğretim Kurumları Yabancı Dil Sınavı (e-YÖKDİL 2024/1 İngilizce-Sosyal Bilgiler) sonuçları açıklandı.
Eğitim,YKS'ye bir aydan az kaldı,ÖSYM tarafından 8-9 Haziran'da yapılacak Yükseköğretim Kurumları Sınavı'na (YKS) 3 milyon 36 bin 945 aday başvurdu.
Eğitim,Proje okullarına öğretmen atama sonuçları açıklandı,Milli Eğitim Bakanlığına (MEB) bağlı özel program ve proje uygulayan eğitim kurumlarına öğretmen atama sonuçları açıklandı.
Eğitim,Yeni müfredat taslağına 67 binin üzerinde görüş ve öneri geldi,Milli Eğitim Bakanlığınca 26 Nisan-10 Mayıs tarihleri arasında kamuoyunun görüş ve önerisine sunulan yeni müfredat taslağına 67 bin 284 görüş ve öneri bildirildi. Müfredat taslağı ise 1 milyon 662 bin 780 kez indirildi.
ÖZEL HABER,Eğitimde engel yok,"Milli Eğitim Bakanlığı Özel Eğitim ve Rehberlik Hizmetleri Genel Müdürlüğü, herkese eşit eğitim sunma amacıyla özel gereksinimli bireylere ihtiyaçlarına yönelik eğitim hizmetleri sunuyor."
Eğitim,Dikey Geçiş Sınavı başvuruları başladı,Meslek Yüksekokulları ile Açıköğretim Ön lisans Programları Mezunlarının Lisans Öğrenimine Dikey Geçiş Sınavı (2024-DGS) başvuruları başladı.
Eğitim,MEB öğretmen adaylarının mülakatlarında sıkı tedbirler uygulayacak,"Milli Eğitim Bakanlığınca (MEB), öğretmen atamalarında ""KPSS yüzde 50, sözlü sınav yüzde 50"" ağırlıklı sisteme geçişte, objektif kriterlerle sözlü sınavların yapılması için yazılı sınavlardaki uygulamaya benzer sıkı önlemler hayata geçirilecek."
Eğitim,ÖSYM hafta sonu iki sınav yapacak,"Ölçme, Seçme ve Yerleştirme Merkezi Başkanlığı (ÖSYM), Elektronik Yükseköğretim Kurumları Yabancı Dil Sınavı'nın (e-YÖKDİL 2024/1-Sosyal Bilimler) 11 Mayıs Cumartesi, e-YÖKDİL 2024/2 Sağlık Bilimleri'nin ise 12 Mayıs Pazar günü elektronik ortamda yapılacağını duyurdu."
Eğitim,Okullarda şiddetin önlenmesi için yasal düzenleme hazırlığı hızlandırıldı,"İstanbul'da bir okul müdürünün öğrencisi tarafından öldürülmesi sonrasında Milli Eğitim Bakanlığı da harekete geçti. Bakanlık, okulda şiddetin önlenmesi amacıyla hazırladığı çalışmayı hızlandırarak son şeklini verdi. Öğretmenlere yönelik şiddete verilecek cezaları artıran düzenlemenin en kısa sürede Meclis gündemine gelmesi bekleniyor."
Eğitim,ALES sonuçları açıklandı,"Ölçme, Seçme ve Yerleştirme Merkezince (ÖSYM), 2024 Akademik Personel ve Lisansüstü Eğitimi Giriş Sınavı (2024-ALES/1) sonuçları açıklandı."
Eğitim,Bakan Tekin: Kademeli bir geçiş öngörüyoruz,"Milli Eğitim Bakanı Yusuf Tekin, kamuoyunun görüşüne açılan yeni müfredata ilişkin, ""Cuma itibarıyla süreci tamamlayıp, eğitim-öğretim daireleri ile Talim ve Terbiye Kurulu Başkanlığı, gelen öneriler doğrultusunda çalışmalarını yapacak ve daha sonra onaylayıp yürürlüğe koyacağız. Kademeli bir geçiş öngörüyoruz"" dedi."
Eğitim,İkinci yazılı sınavlara yönelik örnek soru kitapçıkları erişime açıldı,Ortaokul ve liselerde yapılacak ikinci dönem ikinci yazılı sınavlara yönelik örnek soru kitapçıkları yayımlandı.
