Kategori,Başlık,İçerik
Ekonomi,VİOP'ta endeks kontratı haftaya yükselişle başladı,"Borsa İstanbul Vadeli İşlem ve Opsiyon Piyasası'nda (VİOP) haziran vadeli BIST 30 endeksine dayalı kontrat, haftaya yüzde 0,2 yükselişle 12.059,00 puandan başladı."
Ekonomi,Küresel piyasalar haftaya pozitif başladı,"Küresel piyasalar haftaya pozitif bir seyirle başlarken, bu hafta ABD'de büyüme verileri başta olmak üzere yoğun veri gündemi yatırımcıların odağına yerleşti."
Ekonomi,Fransız haber ajansı AFP'den Togg'a övgü,"Fransız haber ajansı Agence France-Presse (AFP), Türkiye'nin yerli ve milli aracı Togg'u övdü."
Ekonomi,"Türkiye, Gana'ya yapılan dış yatırımlarda ikinci sırada","Türkiye, Batı Afrika ülkesi Gana'ya geçen yıl dışarıdan yatırım yapan ülkeler arasında ikinci sırada yer aldı."
Ekonomi,TOKİ'den millet bahçelerine ilişkin açıklama,"TOKİ, açıklanan tasarruf tedbirleri kapsamındaki hususlar dikkate alınarak ""2053 Net Sıfır Emisyon"" hedefi çerçevesinde, yapımı devam eden millet bahçesi projelerinin tamamlanacağını duyurdu."
Ekonomi,İŞKUR'dan 400 bin liraya kadar hibe desteği: Başvurular başladı,"İŞKUR'un, işini kurmak isteyen engellilere 400 bin liraya, eski hükümlülere ise 300 bin liraya kadar sağlayacağı hibeden faydalanmak isteyenler başvurularını 7 Haziran'a kadar yapılabilecek."
Ekonomi,Konut satış fiyatlarındaki düşüş sürüyor,"Konut fiyatlarında artış enflasyonun altında kalmaya devam ederken, başta Türkiye Cumhuriyet Merkez Bankası (TCMB) Konut Fiyat Endeksi (KFE) olmak üzere sektördeki önemli araştırmalar, fiyatlardaki reel düşüşün yüzde 16'yı aştığını gösteriyor."
Ekonomi,Yapı ve inşaat malzemeleri ihracatı 43 milyon doları aştı,"Doğu Karadeniz'den yılın 4 ayında yapılan yapı ve inşaat malzemeleri ihracatı, yüzde 6 artarak 43 milyon 52 bin 295 dolara ulaştı. En fazla ihracat yüzde 42 ile Gürcistan'a yapıldı."
Ekonomi,BDDK'dan 3 bankaya faaliyet izni,"Bankacılık Düzenleme ve Denetleme Kurumu (BDDK), Marin Yatırım Bankası AŞ., Aytemiz Yatırım Bankası AŞ. ve Adil Katılım Bankası AŞ.'ye faaliyet izni verdi."
Ekonomi,AlBaraka İslami Finans Zirvesi sona erdi,"Küresel ölçekte İslam ekonomisi için daha sürdürülebilir, kapsayıcı ve yenilikçi bir geleceğe yönelik rota çizen AlBaraka İslami Finans Zirvesi ilk kez İstanbul'da gerçekleştirildi."
Ekonomi,Bakan Bolat: Türkiye'nin yaktığı işaret fişeği dünyada bir ilk oldu,"Ticaret Bakanı Ömer Bolat, İsrail'le ticaretin durdurulması kararına ilişkin, ""Türkiye'nin yaktığı bu işaret fişeği dünyada bir ilk oldu. Ardından Belçika, İspanya, İrlanda, Norveç gibi ülkeler de Filistin Devleti'ni tanıma kararı aldı. Türkiye olarak hem insani hem vicdani bir hareketin öncüsü olduk"" dedi."
Ekonomi,DEİK Başkanı Olpak: İsrail'e ithalat ve ihracatın durdurulması kararını destekliyoruz,"Dış Ekonomik İlişkiler Kurulu Başkanı Nail Olpak, ""Türkiye Cumhuriyeti devletinin yeterli ve sürekli yardım sağlanıncaya kadar, İsrail'e ithalat ve ihracatın durdurulması kararını çok önemli buluyoruz ve destekliyoruz"" dedi."
ÖZEL HABER,Gabar petrolünün kuyudan depolara uzanan yolculuğu,"Türkiye'nin enerji üssü olması hedefi doğrultusunda önemli adımların atıldığı Gabar Dağı'nda petrol üretimi artıyor. TRT Haber, dağın zirvesinden depolama tesisine kadar tüm süreci yerinde takip etti."
Ekonomi,"Bakan Yumaklı: TMO buğday alımına hazır, hiçbir problem olmayacak","Tarım ve Orman Bakanı İbrahim Yumaklı, ""TMO'nun depolarının dolu olduğu ve bir kilo mal alamayacağı söylentileri var, en yetkili ağız olarak söylüyorum; hiçbir problem olmayacak. Çünkü hazırlığımız tam. Dolayısıyla bunlara itibar etmeyin. En doğru açıklama bizden gelecek olan açıklamadır."" dedi."
Ekonomi,"Türk Yatırım Fonu, üye ülkeler arasındaki ticareti geliştirecek","Türk Devletleri Teşkilatı üye ülkeleri tarafından kurulan Türk Yatırım Fonu'nun üye ülkeler arasındaki ekonomik entegrasyonu, ticareti ve yatırımları artırması hedefleniyor."
Ekonomi,Türkiye ile Mısır 15 milyar dolarlık ticaret hedefine odaklandı,"Türkiye'nin Kahire Büyükelçisi Salih Mutlu Şen, Mısır ile en geç 5 yıl içinde 15 milyar dolarlık ticaret hacmine ulaşmayı hedeflediklerini, bunun da Serbest Ticaret Anlaşması'nın etkin şekilde uygulanması, Ro-Ro hattının tekrar açılması ve yerel parayla ticaret yoluyla sağlanacağını bildirdi."
Ekonomi,Küresel piyasalarda gözler ABD verilerine çevrildi,"Küresel piyasalarda hafta içi negatif bir seyir izlenirken, gözler gelecek hafta ABD'de açıklanacak büyüme verisine çevrildi."
Ekonomi,"Doğurganlık hızındaki düşüş, emeklilik sisteminde yükü artıracak","Türkiye'de doğurganlık hızının düşmesinin sosyal güvenlik sistemine de etkileri olacağını belirten uzmanlar, emeklilik sisteminde sürdürülebilirliği önceliklendiren yapısal dönüşümlerin halihazırda gerekli olduğunu, doğurganlığın hızla düşmesinin bu sorunu biraz daha derinleştirebileceğini belirtiyor."
Ekonomi,Vergi rekortmenleri her yıl ağustos sonuna kadar açıklanacak,Türkiye'de adına en fazla vergi tahakkuk eden gelir ve kurumlar vergisi mükelleflerinin yer aldığı listeler her yıl ağustos sonuna kadar ilan edilecek.
Ekonomi,KVKK'dan çevrim içi oyun firmasına para cezası,"Kişisel Verileri Koruma Kurumu (KVKK), Knight Online oyunun Türkiye'deki dağıtıcısı ve tek yetkilisi konumundaki veri sorumlusu şirkete, kişisel verileri hukuka aykırı işlediği gerekçesiyle 750 bin lira idari para cezası verdi."
Ekonomi,Ege ve Mersin serbest bölgelerindeki bazı taşınmazlar yatırımcılara tahsis edilecek,"Ticaret Bakanlığı, tasarrufunda bulunan Ege ve Mersin serbest bölgelerindeki bazı taşınmazların, faaliyet ruhsatı süresince kullanıma verilmesi amacıyla yatırımcılara yönelik teklif toplama ilanına çıktı."
Ekonomi,Deprem bölgesinde yeniden yapılandırmanın taksit süreleri düzenlendi,"Depremden etkilenen ve mücbir sebep hali uzatılan Adıyaman, Hatay, Kahramanmaraş, Malatya ile Gaziantep'in İslahiye ve Nurdağı ilçelerinde yeniden yapılandırmanın ilk taksiti eylül sonuna kadar ödenebilecek."
Ekonomi,Bakü-Tiflis-Kars Demiryolu'nda yük taşımacılığı yeniden başladı,Bakü-Tiflis-Kars Demiryolu'nun (BTK) Gürcistan'dan geçen bazı bölümlerinde modernizasyon ve genişletme çalışmalarının tamamlanmasıyla yük taşımacılığı yeniden başladı.
Ekonomi,Deprem bölgesindeki vergi borçları yeniden yapılandırıldı,6 Şubat Kahramanmaraş depremlerinden etkilenen 5 ilde mücbir sebep nedeniyle vergi  mükelleflerin borçları yeniden yapılandırıldı. Cumhurbaşkanı Kararı Resmi Gazete'de yayımlandı.
Ekonomi,Doğal gaz üretiminde yeni rekor,"Enerji ve Tabii Kaynaklar Bakanı Alparslan Bayraktar, ""Bugün itibari ile doğal gaz üretimimiz yeni rekora ulaştı. Günlük 5 milyon metreküpe ulaşmış durumdayız. 2 milyon haneye yetecek kadar doğal gaz üretiyoruz"" açıklamasını yaptı."
Ekonomi,Borsadan haftalık kapanış rekoru,"Borsa İstanbul'da BIST 100 endeksi, günü yüzde 1,07 değer kaybederek 10.676,65 puandan tamamlamasına karşın tüm zamanların en yüksek haftalık kapanışını gerçekleştirdi."
Ekonomi,Tarımsal destekleme ödemeleri bugün hesaplara aktarılacak,"Tarım ve Orman Bakanı İbrahim Yumaklı, 1 milyar 221 milyon 785 bin liralık tarımsal destekleme ödemelerinin bugün çiftçilerin hesaplarına aktarılacağını bildirdi."
Ekonomi,Bakan Mehmet Fatih Kacır: Uluslararası uzay limanı inşa edeceğiz,"Sanayi ve Teknoloji Bakanı Mehmet Fatih Kacır, uluslararası uzay limanını inşa edeceklerini belirterek, ""Bir uluslararası işbirliğiyle Türkiye bir uzay limanının paydaşı olacak önümüzdeki yıllarda. Böylelikle uzaya bağımsız erişebilen bir ülke olacağız"" dedi."
Ekonomi,TCMB Başkanı Karahan: Dezenflasyonun eşiğindeyiz,"Türkiye Cumhuriyet Merkez Bankası Başkanı Fatih Karahan, ""Manşet enflasyonun mayıs ayında baz etkisiyle tepe noktasına ulaşacağını sonrasında ise belirgin bir düşüşe geçeceğini belirtmiştik. Geldiğimiz noktada dezenflasyonun eşiğindeyiz"" dedi."
Ekonomi,Bakan Şimşek: Programımızın ana hedefi dezenflasyondur,"Hazine ve Maliye Bakanı Mehmet Şimşek, ""Programımızın ana hedefi dezenflasyondur. Açık veya örtülü bir kur hedefimiz bulunmamaktadır. Ülke tecrübeleri, başarılı dezenflasyon programlarında kurun reel olarak değerlendiğini gösteriyor"" dedi."
Ekonomi,Çin ile nükleer santral için yapılan görüşmelerde sona yaklaşıldı,"Enerji ve Tabii Kaynaklar Bakanı Alparslan Bayraktar, Trakya bölgesinde planlanan nükleer enerji santraline yönelik Çin ile görüşmeler yürüttüklerini belirterek, ""Bu hükümetlerarası anlaşmayı birkaç ay içinde sonuçlandırmak için çalışıyoruz."" dedi."
Ekonomi,Türk zırhlısı pikap versiyonuyla yurt dışında,"Türk savunma sanayiinin zırhlı kara aracı üreticilerinden Otokar, COBRA II aracının pikap versiyonunu yurt dışında ilk kez Romanya'daki Karadeniz Savunma ve Havacılık Fuarı'nda sergiledi."
Ekonomi,TCMB Başkanı Karahan: TL mevduatın payı yüzde 45'e yükseldi,"Türkiye Cumhuriyet Merkez Bankası Başkanı Fatih Karahan, ""Son verilerimize göre Türk lirası bazlı mevduatın payı Ağustos 2023'teki en düşük seviyesi olan yüzde 31'den yüzde 45'e yükseldi"" dedi."
Ekonomi,Afrika ülkelerine ihracat 4 ayda 6 milyar dolara ulaştı,"Türkiye'nin Afrika ülkelerine ihracatı, yılın 4 ayında 6 milyar dolara ulaştı."
Ekonomi,"Türkiye yılın ilk 4 ayında 12,6 milyon ziyaretçiyi ağırladı","Türkiye, bu yılın ilk 4 ayında 12 milyon 678 bin 959 ziyaretçiyi ağırladı. Türkiye'ye en çok ziyaretçi gönderen ülkeler sıralamasında Almanya birinci sırada yer aldı"
