Kategori,Başlık,İçerik
Kültür-Sanat,Cesaret ve kahramanlık timsali Nene Hatun vefatının 69. yılında anılıyor,"Osmanlı tarihinin önemli savaşlarından ""93 Harbi"" diye adlandırılan 1877-1878 Osmanlı-Rus Savaşı'nda genç yaşta gösterdiği büyük kahramanlık sonrasında gönüllerde taht kuran Erzurumlu Nene Hatun, vefatının 69. yılında anılıyor."
Kültür-Sanat,"Tarih meraklıları, İstanbul'daki padişah türbelerini uzmanlar eşliğinde gezdi","Müzeler Haftası kapsamında düzenlenen gezinin ikinci gün rotasında, Osmanlı padişahlarından Sultan 2. Mahmud, Sultan 1. Ahmed ve Sultan 1. Abdülhamid ile Hatice Turhan Valide Sultan türbeleri yer aldı."
Kültür-Sanat,Uzmanlara göre yapay zekanın sanat dünyasına katkısı olacak,"Sanat alanında yapay zeka kullanan yönetmen ve yapımcı Ernesto M. Anaya ile küratör Luba Elliott, bu teknolojinin sanat alanında bir dost olduğunu ve alana katkısı olacağını söyleyerek sektör çalışanlarına yapay zeka araçlarıyla çalışmayı öğrenmelerini tavsiye etti."
Kültür-Sanat,Hygieia’nın başı 2 bin 100 yıl sonra güneşi gördü,Denizli’de kazı çalışmaları süren Loadikya Antik Kenti’nde Yunan mitolojisinde temizlik ve sağlık tanrıçası Hygieia’nın başı 2 bin 100 yıl sonra gün yüzüne çıktı.
Kültür-Sanat,Göreme Açık Hava Müzesi'ne turistler akın etti,"Türkiye'nin en çok ziyaret edilen ilk 10 müzesi arasında yer alan ve Hristiyanlık tarihinin izlerini barındıran Göreme Açık Hava Müzesi, bu yılın ilk dört ayında 275 bin 705 ziyaretçi çekti."
Kültür-Sanat,"Bakan Tekin, ""Orijinal Atatürk Portresi Sergisi""nin açılışına katıldı","Milli Eğitim Bakanı Yusuf Tekin, ""Orijinal Atatürk Portresi Sergisi""nin açılışını gerçekleştirdi ve ""Cumhuriyet'e Doğru"" adlı tiyatro oyununu izledi."
Kültür-Sanat,Cumhurbaşkanı Erdoğan'dan 18 Mayıs Müzeler Günü'ne özel paylaşım,"Cumhurbaşkanı Recep Tayyip Erdoğan, 18 Mayıs Müzeler Günü'nü tebrik ederek ""Bugüne kadar olduğu gibi bundan sonra da ülkemizin kültür ve sanat hayatına katkı sağlamaya devam edeceğiz"" dedi."
Kültür-Sanat,"Ayasofya ve Efes müzelerine giriş, Müzeler Haftası'nda yüzde 50 indirimli olacak","Ayasofya Tarih ve Deneyim Müzesi ile Efes Deneyim Müzesi, Müzeler Haftası'nda ziyaretçilerini yüzde 50 indirimli ağırlayacak."
Kültür-Sanat,Erkan Yolaç hayatını kaybetti,"TRT'nin unutulmaz yarışması ""Evet-Hayır"" ile hafızalarda yer edinen sunucu Erkan Yolaç, uzun süredir tedavi gördüğü hastanede 89 yaşında hayatını kaybetti."
Kültür-Sanat,"Kültür ve Turizm Bakanlığının sinemaya desteği 44,9 milyon liraya ulaştı","Kültür ve Turizm Bakanlığının bu yıl sinema sektörüne aktardığı destek miktarı 44,9 milyon liraya ulaştı."
Kültür-Sanat,Ayasofya ve Efes Deneyim Müzesi’nde yerli ziyaretçilere yüzde 50 indirim,"Kültür ve Turizm Bakanlığı, Ayasofya Tarih ve Deneyim Müzesi ile Efes Deneyim Müzesi’nde Müzeler Haftası’na özel olarak yerli ziyaretçilere yüzde 50 indirim yapılacağını açıkladı."
Kültür-Sanat,"Bakan Ersoy, Yunan mevkidaşıyla ""Romeo ve Juliet"" oyununu izledi","Kültür ve Turizm Bakanı Mehmet Nuri Ersoy ile Yunanistan Kültür Bakanı Lina Mendoni, ""Romeo ve Juliet"" oyununu, Yunanistan'ın başkenti Atina'da birlikte izledi."
Kültür-Sanat,Bu hafta 11 film vizyona girecek,"Sinema salonlarında bu hafta komediden korkuya, bilim kurgudan animasyona 11 yapım izleyiciyle buluşacak."
Kültür-Sanat,Topkapı Sarayı'nın 300 yıllık iki büyük saati restore ediliyor,Cumhurbaşkanlığı Milli Saraylar Başkanlığı tarafından Topkapı Sarayı saat koleksiyonunda bulunan saatler restore ediliyor.
Kültür-Sanat,Türk sineması Cannes Film Festivali'nde tanıtılıyor,"Kültür ve Turizm Bakanlığı'nın desteği ve Boğaziçi Kültür Sanat Vakfının organizasyonuyla, Türk sineması 77. Cannes Film Festivali'nde tanıtılıyor."
Kültür-Sanat,Rami Kütüphanesi'nde Bilim Şenliği düzenlenecek,"Rami Kütüphanesi'nde, 17-18 Mayıs'ta ""Yeryüzünden Gökyüzüne İstanbul"" temasıyla Bilim Şenliği gerçekleştirilecek."
Kültür-Sanat,Vangölü Ekspresi seyahatseverlerden ilgi görüyor,"Ankara-Tatvan seferini yapan Vangölü Ekspresi, seyahatseverlerden ilgi görüyor."
Kültür-Sanat,Türkiye'nin agro kütüphanesi ödül için ilk 5'te yer aldı,"Uşak'ta, Kültür ve Turizm Bakanlığı ile Birleşmiş Milletler Kalkınma Programı (UNDP) işbirliğiyle açılan agro kütüphane, Uluslararası Kütüphane Dernekleri ve Kurumları Federasyonu (IFLA) Yeşil Kütüphane Ödülü 2024 için ilk 5 aday arasına girdi."
Kültür-Sanat,Ayten Gökçer hayatını kaybetti,Tiyatro ve sinemanın sanatçısı Ayten Gökçer 84 yaşında hayatını kaybetti. Gökçer'in cenazesi yarın Zincirlikuyu Mezarlığı'nda toprağa verilecek.
Kültür-Sanat,Halfeti yerli turistlerin uğrak yeri oldu,"Güneydoğu bozkırının ortasında yer alan ve Birecik Baraj Gölü sayesinde sahil kenti görünümüne sahip Şanlıurfa'nın Halfeti ilçesi, özellikle hafta sonu tatili gibi dönemlerde bölge halkının ilgisini çekiyor."
Kültür-Sanat,Türk dilinin hazinesi: Divanu Lugati't-Türk,"Türk Dili ve Edebiyatı Bölümü Öğretim Üyesi Prof. Dr. İdris Nebi Uysal, ""Sözlük bir dilin hazinesi hükmündedir. Kaşgarlı Mahmud o yıllarda bu şuur ve hassasiyetle elini taşın altına koyarak çok zor şartlarda bir sözlük yazdı ve bize emanet etti. Ne kadar gurur duysak, iftihar etsek azdır."" dedi."
Kültür-Sanat,"Cumhurbaşkanlığı Klasik Türk Müziği Korosu, sezonun son konserini AKM'de verecek","Cumhurbaşkanlığı Klasik Türk Müziği Korosu, 26 Mayıs'ta Atatürk Kültür Merkezi'nde, ""Bayati Takım ve Hicaz Köçekçeler"" başlıklı sezon kapanış konserinde sahne alacak."
Kültür-Sanat,Kariye Camii'nde 79 yıl sonra ilk kez cuma namazı kılındı,Fatih'te bulunan ve 79 yıl sonra yeniden ibadete açılan Kariye Camii'nde ilk cuma namazı eda edildi.
Kültür-Sanat,Türkiye sıcak hava balonunda zirvede: 5 milyon 863 bin 176 kişi uçtu,"Türkiye, dünyanın en büyük ticari sıcak hava balonu operasyonu yapan ülkesi. Türkiye’de ruhsatlandırılmış 67 balon işletmesi, 6 onaylı eğitim organizasyonu, 434 balon ve 682 balon pilotu bulunuyor. Bugüne kadar 5 milyon 863 bin 176 kişi balonla uçtu."
Kültür-Sanat,"TRT, Engelsiz TV ile engelli bireylere sevilen yapımları ulaştırıyor","Radyo ve televizyon yayıncılığının öncüsü TRT, dezavantajlı grupların da sesi oluyor. Sevilen yapımlar; sesli betimlemeler ve işaret diliyle engelli bireylere ulaştırılıyor. Dizi ve animasyonlar, ""engelsiztrt.tv"" internet sitesinden yayımlanıyor."
Kültür-Sanat,Bu hafta 9 film vizyona girecek,"Sinema salonlarında bu hafta komediden korkuya, bilim kurgudan animasyona 9 yapım izleyiciyle buluşacak."
Kültür-Sanat,Bakan Ersoy'dan 'Seddülbahir Kalesi Müze Yapısı' için oy verme çağrısı,"Bakan Ersoy, ""Seddülbahir Kalesi Müze Yapısı""nın mimarlık ödüllerinden ""Architizer A+ Awards"" finalinde ödül alması için 10 Mayıs'a kadar oy verme çağrısında bulundu."
Kültür-Sanat,Pink Martini Antalya'da sevenleriyle buluştu,"ABD'li müzik grubu Pink Martini, Antalya'nın Serik ilçesinde ""Regnum Live in Concerts"" kapsamında Antalya'da sahneye çıktı."
