Kategori,Başlık,İçerik
Sağlık,Hastanelerde 'onaylı randevu' dönemi yarın başlıyor,"Hastanelerde onaylı randevu dönemi başlıyor. Yeni dönemde, hasta randevu tarihinden bir gün önce ya onay verecek ya da gelemeyeceğini bildirmek zorunda olacak."
Sağlık,Kanser vakalarının yüzde 40'ının obezite ile bağlantılı olduğu belirlendi,"İsveç'te, 4,1 milyon kişiyle yapılan bir araştırmada, kanser vakalarının yüzde 40'ının aşırı kilo ile bağlantılı olduğu belirlendi."
Sağlık,Bahar aylarında hangi cilt sorunları ortaya çıkıyor?,Güneşin yüzünü daha fazla gösterdiği bahar aylarında ciltte başta alerjik rahatsızlıklar olmak üzere pek sorun kendini gösteriyor. Çözüm yolu ise güneşin zararlı etkilerine karşı önlem almaktan geçiyor.
Sağlık,"10 soruda hastanede ""onaylı randevu""","Merkezi Hekim Randevu Sisteminde (MHRS) ""Onaylı Randevu"" dönemi 13 Mayıs Pazartesi günü başlıyor."
Sağlık,Türkiye'de her 15 dakikada bir kişi inme nedeniyle hayatını kaybediyor,"Prof. Dr. Ethem Murat Arsava, TÜİK verilerine göre 2020'de kaydedilen 507 bin 938 ölümün 183 bin 109'unun kalp-damar sistemi hastalıklarından kaynaklandığını belirterek, ""İnme nedeniyle ölenlerin sayısı ise 35 bin 880'dir. Türkiye'de her 15 dakikada bir kişi inme nedeniyle yaşamını yitirmektedir"" dedi."
Sağlık,SGK'nın geri ödeme listesine 47 ilaç daha alındı,"Sosyal Güvenlik Kurumu (SGK), 8’i yenilikçi kanser ilacı olmak üzere 10'u yerli, toplam 47 ilacı daha geri ödeme listesine aldı."
Sağlık,Çığır açıcı gen tedavisi işitme engelli kızın duymasını sağladı,"İngiltere'de işitme engeliyle doğan bir kız çocuğu, çığır açıcı nitelikte bir gen tedavisi ile işitme cihazı olmadan duyabilmeye başladı."
Sağlık,Akciğerini çantasında taşıyor,"Nadir görülen bir yüksek tansiyon türü olan ""pulmoner hipertansiyon"" hastası 60 yaşındaki Aykut İnciler, akciğerinin fonksiyonlarını yerine getirememesi sonucu 3 yıldır çantasında taşıdığı yapay akciğer cihazıyla hayatını sürdürüyor."
Sağlık,"Türkiye'de 'difteri, çocuk felci ve yenidoğan tetanozu' görülmüyor","Sağlık Bakanlığı verilerine göre, Genişletilmiş Bağışıklama Programı (GBP) kapsamında uygulanan aşılamayla Türkiye'de 1998'den bu yana çocuk felci, Nisan 2009'dan itibaren yenidoğan tetanozu, 2011'den bu yana difteri vakasının görülmediği belirtildi."
Sağlık,Kan bağışı hayata bağlıyor,"Kızılay’a yılın başından bu yana yaklaşık 835 bin üniteyi aşkın kan bağışı yapıldı. Peki, kan bağışı nasıl yapılıyor? Kimler kan bağışında bulunabilir? Detaylar haberimizde…"
Sağlık,Glüten hassasiyeti olanlar nelere dikkat etmeli?,"Buğday, arpa ve çavdar… Sofralarda yer alan pek çok üründe yer alan bu tahıllar, bazı insanlarda glüten hassasiyetine sebep oluyor. Bu da başta sindirim sistemi olmak üzere vücutta sorunlara yol açıyor. Çözümü ise glütensiz beslenmekten geçiyor."
Sağlık,7 soruda polen alerjisiyle ilgili merak edilenler,Özellikle bahar aylarında artışa geçen polen alerjisi her yaştan insanı olumsuz etkiliyor. Alerjiyle mücadelede medikal tedaviler kadar kişisel önlemler de büyük önem taşıyor. İşte polen alerjisiyle ilgili merak edilenler…
Sağlık,Elektronik sigara kullanan gençlerin idrarında uranyum ve kurşun bulundu,"Yapılan bir araştırmaya göre, gün boyunca düzenli olarak elektronik sigara içen gençler, vücutlarını potansiyel olarak toksik metallere maruz bırakıyor olabilir."
Sağlık,7 bin 356 engelli bireye yatılı bakım hizmeti sunuluyor,Aile ve Sosyal Hizmetler Bakanlığına bağlı 106 resmi bakım ve rehabilitasyon merkezinden 7 bin 356 engelli bireyin hizmet aldığı öğrenildi.
Sağlık,Türk doktorun “Fındık tekniği” yöntemi dünya tıp literatürüne girdi,"Sağlık Bilimleri Üniversitesi Ankara Onkoloji Eğitim ve Araştırma Hastanesi Göğüs Cerrahisi Uzmanı Prof. Dr. Göktürk Fındık, kalp zarının alınmasının gerektiği lokal ileri akciğer kanseri ameliyatlarında ""yapay protez"" kullanmadan uygulanan ""Fındık tekniği"" yöntemini ilk kez dünya tıp literatürüne kazandırdı."
Sağlık,Yerli ve milli menenjit aşısı için büyük adım,"İzmir Biyotıp ve Genom Merkezi (İBG) liderliğinde, Bilkent ve Hacettepe üniversitelerinden araştırmacılar, yüksek koruyuculuğa sahip ve uygun fiyatlı menenjit aşısı için yeni nesil yöntem geliştirdi."
Sağlık,Sıcak geçen ilkbahar KKKA vakalarını artırdı,"Prof. Dr. İlhan Çetin, Kırım Kongo Kanamalı Ateşi (KKKA) hastalığını bulaştıran kenelerin hava sıcaklığının mevsim normalleri üzerinde seyretmesinden dolayı doğada erken görülmeye başladığını söyledi."
Sağlık,Kişiye özel ilk cilt kanseri aşısı test ediliyor,"Cilt kanserinin en ölümcül türü olan melanomaya karşı dünyanın ilk ""kişiselleştirilmiş"" mRNA aşısının denemesi İngiltere'de yapılıyor."
Sağlık,Bakan Kacır: Fikri hakları Türkiye'ye ait Sağlık Bakanlığı’ndan onay alan ilk ilaç adayı geliştirildi,"Sanayi ve Teknoloji Bakanı Mehmet Fatih Kacır, ""Prof. Dr. Rana Sanyal hocamız ve ekibi; tüm geliştirme faaliyetleri Türkiye’de yapılan, fikri hakları tamamen ülkemize ait, klinik araştırmalar için Sağlık Bakanlığı Türkiye İlaç ve Tıbbi Cihaz Kurumu'ndan (TİTCK) onay alan ülkemizin ilk ilaç adayını geliştirdi"" dedi."
Sağlık,Toz taşınımı uyarısı: Mümkün olduğunca dışarı çıkmayın,"Ankara Üniversitesi Tıp Fakültesi Göğüs Hastalıkları Anabilim Dalı Öğretim Üyesi Prof. Dr. Demet Karnak, ""Durumu hassas kişilere, toz taşınımının çok yüksek olduğu günlerde evde kalmalarını, mümkün olduğunca dışarı çıkmamalarını öneriyoruz."" dedi."
Sağlık,Sıtma geçen yıl 608 bin can aldı,"Dünyada 2022'de 249 milyon sıtma vakası tespit edildi ve hastalık nedeniyle 608 bin kişi yaşamını yitirdi. Azerbaycan, Tacikistan ve Belize, 2023'te sıtmadan arındırılmış ülkeler listesine girdi."
Sağlık,DSÖ: Küresel aşılamayla 50 yılda 154 milyon hayatın kurtarıldığı tahmin ediliyor,"Dünya Sağlık Örgütü (DSÖ) Genel Direktörü Tedros Adhanom Ghebreyesus, DSÖ öncülüğünde yürütülen küresel aşılama çabalarıyla son 50 yılda 154 milyon hayatın kurtarıldığının tahmin edildiğini söyledi."
Sağlık,Pastörize sütte kuş gribi virüsü bulundu,"ABD Gıda ve İlaç İdaresi'nin açıklamasına göre, ülkedeki bazı pastörize süt örneklerinde kuş gribine neden olan H5N1 virüsünün parçaları bulundu."
Sağlık,Avrupa'da sivrisinek kaynaklı salgın alarmı,"Uzmanlar, iklim krizi nedeniyle Avrupa'da sivrisinek kaynaklı hastalıkların yayıldığını söylüyor. Dang humması ve sıtma gibi hastalıkların Kuzey Avrupa, Amerika, Asya ve Avustralya'nın etkilenmeyen bölgelerine ulaşması bekleniyor."
Sağlık,Çocukluk çağı aşıları ihmal edilmemeli,Türkiye’de çocuklara 13 hastalığa karşı rutin aşılama yapılıyor. Çocuklar dünyaya gelmelerinden hemen sonra dahil edildikleri aşı takvimi sayesinde pek çok hastalığa karşı bağışıklık kazanıyor.
Sağlık,Kulak memesindeki çizgi kalp-damar hastalığını işaret edebilir,"Bilkent Şehir Hastanesi Kardiyoloji Uzmanı Prof. Dr. Kevser Gülcihan Balcı, ""Frank çizgisi"" olarak adlandırılan kulak memesindeki çapraz çizginin, artan kalp-damar hastalığı riskine işaret edebileceğini ancak bunun tıpta asla tek başına bir gösterge sayılmadığını söyledi."
Sağlık,"Türkiye'nin ""aşı üretim üssü"" için çalışmalar hızla sürüyor",Sağlık Bakanlığı öncülüğünde 50 bin metrekarelik kapalı alanda hizmet verecek Hıfzıssıhha-Türkiye Aşı ve Biyoteknolojik Ürün Araştırma ve Üretim Merkezi'nin ilk etap inşaatı tamamlanma noktasına geldi.
Sağlık,"Bakan Koca'dan ""geleneksel ve tamamlayıcı tıp uygulamaları"" açıklaması","Sağlık Bakanı Fahrettin Koca, ""Vatandaşlarımıza geleneksel ve tamamlayıcı tıp uygulamaları alanında sunulan hizmetlerin, yalnızca bu alanda eğitimi bulunan kişilerce ve yine yalnızca bakanlığımızca yetkilendirilen sağlık kuruluşlarında sunulmasına büyük önem veriyoruz."" dedi."
Sağlık,'Geleneksel ve Tamamlayıcı Tıp Uygulamaları Çalıştayı' yarın yapılacak,"Sağlık Bakanlığı, ulusal ve uluslararası bilim insanlarının katılımıyla yarın İstanbul'da Geleneksel ve Tamamlayıcı Tıp Uygulamaları (GETAT) Kılavuz ve Strateji Geliştirme Çalıştayı'nı düzenleyecek."
Sağlık,Yoğun bakımdaki hastaların elini tutacak robot kol geliştirildi,"Erzurum Atatürk Üniversitesi'nde akademisyenler, COVID-19 döneminden yola çıkarak hastanelerin yoğun bakım ünitelerinde tedavi gören, özellikle bilinci kapalı hastalara tedavi sürecinde bir yakınının elini tutuyormuş hissi veren el şeklinde cihaz geliştirdi."
Sağlık,Sigarayı yasaklayan ya da kısıtlayan ülkeler hangileri?,Dünyanın pek çok ülkesinde sigaraya karşı yoğun bir mücadele sürdürülüyor. Bazı ülkeler sigara satışına yaş sınırı getiriyor bazıları ise kamu alanlarında tüketimini yasaklıyor. İşte sigara kullanımını yasaklayan ya da kısıtlayan ülkeler…
Sağlık,Hastaneden randevu alıp gitmeyenlere yeni tedbirler geliyor,"Sağlık Bakanı Fahrettin Koca, randevu onay sisteminin de devreye alınacağını, onay verdiği halde randevusuna gitmeyenlere aynı bölümden 15 gün içinde yeni randevu verilmeyeceğini belirtti. Koca, iki kez üst üste randevuya gitmeyenlere de tüm branşlarda 15 gün randevu verilmeyeceğini açıkladı."
Sağlık,Hemofili hastaları yaşamını normal şekilde sürdürebiliyor,"Dünya genelinde 500 bini aşkın kişide görülen hemofili, yaşam boyu süren bir hastalık. Ancak erken teşhis ve gelişen tedavi olanakları sayesinde hastaların çoğu günlük yaşamını rahatlıkla sürdürebiliyor."
Sağlık,"Uganda'da salgın: 7 bin 500 kişide ""kırmızı göz"" hastalığı görüldü","Uganda'da son 3 haftada bulaşıcı ""kırmızı göz"" (konjonktivit) hastalığına yakalananların sayısının 7 bin 500'ü geçtiği bildirildi."
Sağlık,Diz bağları kopan hasta tendon nakliyle ayağa kalktı,"Konya'da 20 santimetre yükseklikteki kaldırımdan düşünce diz bağları kopan 39 yaşındaki Şahin Murat, kapalı yöntemle iki bacağından alınarak nakledilen tendonlar sayesinde yeniden yürümeye başladı."
Sağlık,Parkinson hastalığında erken teşhis önemli,Titreme ve hareket kısıtlılığıyla seyreden Parkinson hastalığının geçmişi 200 yıl önceye dayansa da hala çözümü bulunamadı. Ancak erken evrede koyulan teşhis sayesinde hastaların yaşam kalitesini artırmak mümkün.
Sağlık,"Türkiye, geçen yıl 2,3 milyar dolarlık sağlık turizmi geliri elde etti","Ticaret Bakanlığı, Türkiye'nin, sağlık turizmi alanında uluslararası kabul gören akreditasyonuna sahip 40 sağlık kuruluşuyla dünyada 7. sırada yer aldığını ve geçen yıl bu alanda 2,3 milyar dolarlık gelire ulaştığını duyurdu."
DOSYA HABER,Sağlıklı yaşamın altın kuralları,"Sağlıklı bir yaşam sürmenin anahtarı, zararlı alışkanlıkları terk edip doğru davranışlar geliştirmekten geçiyor. İşte egzersizden beslenmeye sağlıklı yaşam için uzman önerileri…"
Sağlık,Bakan Koca'dan Sağlık Haftası paylaşımı,"Sağlık Bakanı Fahrettin Koca, 7-13 Nisan Sağlık Haftası'na ilişkin, ""Bugün, 1948'teki beyana tarihte tekrar kayda geçeceği şekilde sahip çıkma zamanı. Gazze insanı ağır saldırılar altında ve her türlü sağlık hakkından yoksun"" ifadesini kullandı."
