Kategori,Başlık,İçerik
Spor,Şampiyon Fenerbahçe Alagöz Holding,"Basketbol FIBA Kadınlar Avrupa Ligi finalinde Fransa'nın Villeneuve d'Ascq LM takımını 106-73 mağlup eden Fenerbahçe Alagöz Holding, üst üste ikinci kez şampiyon oldu."
Spor,Sezon sonuna kadar VAR'da yabancı hakem görevlendirilecek,"Türkiye Futbol Federasyonu, Trendyol Süper Lig'in 32. haftasından sezon sonuna kadar haftanın kritik maçlarında yabancı Video Yardımcı Hakem (VAR) görevlendirileceğini açıkladı."
Spor,"Japonya, 2026 FIFA Dünya Kupası elemelerinde Kuzey Kore'ye karşı hükmen galip","Japonya ""Samurai Blue"" Milli Futbol Takımı'nın Kuzey Kore ile 26 Mart'ta oynaması planlanan ancak iptal edilen futbol maçını hükmen kazandığı bildirildi."
Spor,"Real Madrid, ırkçı tezahürattan dolayı savcılığa suç duyurusunda bulundu","Real Madrid Kulübü, Şampiyonlar Ligi'nde hafta içinde oynanan Barcelona-Napoli ve Atletico Madrid-İnter maçlarında Brezilyalı futbolcusu Vinicius Junior'a yönelik ırkçı tezahürat yapıldığı gerekçesiyle savcılığa suç duyurusunda bulundu."
Spor,"Al Hilal, üst üste 28 galibiyetle dünya rekoru kırdı","Suudi Arabistan ekibi Al Hilal, üst üste 28. maçını kazanarak futbolda en uzun galibiyet serisini yakalayan takım oldu."
Spor,Arda Real Madrid'deki ilk golünü attı,"Real Madrid sahasında oynadığı maçta Celta Vigo'yu 4-0 mağlup ederken, oyuna son dakikalarda giren milli futbolcu Arda Güler, Real Madrid'deki ilk gol mutluluğunu yaşadı."
Spor,Derbide 3 puan Galatasaray’ın,"Trendyol Süper Lig'in 28. haftasındaki derbide Beşiktaş'ı 1-0 yenen Galatasaray, bu kulvardaki yenilmezlik serisini 16 maça çıkardı."
Spor,Futbolda yayın ihalesi sonuçlandı,"TFF, Süper Lig ve 1. Lig'in gelecek 3 sezonu kapsayan yayın haklarını, sezonluk 182 milyon dolar artı KDV karşılığında beIN MEDIA GROUP'un kazandığını duyurdu."
Spor,Türkiye Ralli Şampiyonası'nın Kars ayağı tamamlandı,Petrol Ofisi Maxima 2024 Türkiye Ralli Şampiyonası'nın ilk yarışı olan Sarıkamış Rallisi tamamlandı.
Spor,ABD mahkemesi: Siyahi gencin örgülü saçları yüzünden okuldan uzaklaştırılması ırkçılık değil,"ABD’de mahkeme, siyahi gencin saçlarını rasta tarzı ördüğü için okuldan uzaklaştırılmasının ""ırk temelli ayrımcılık olmadığına"" hükmetti."
Spor,Milli halterci Büşra Çan'dan bronz madalya,"Bulgaristan'da düzenlenen Avrupa Halter Şampiyonası'nda kadınlar 87 kiloda Büşra Çan, silkmede 127 kiloluk kaldırışıyla bronz madalyanın sahibi oldu."
Spor,Beşiktaş genç futbolcu Emirhan Delibaş ile yollarını ayırdı,"Beşiktaş Kulübü, 21 yaşındaki sağ kanat oyuncusu Emirhan Delibaş ile karşılıklı anlaşarak yollarını ayırdığını açıkladı."
Spor,Dezenformasyonla Mücadele Merkezi Süper Kupa iptalini yalanladı,"İletişim Başkanlığı Dezenformasyonla Mücadele Merkezi, Galatasaray ile Fenerbahçe arasında oynanması planlanan 2023 Süper Kupa Finali'nin iptal edildiği haberlerini yalanladı."
Spor,Barış Alper Yılmaz durmak bilmiyor,Barış Alper Yılmaz Galatasaray'ın MKE Ankaragücü'nü 3-0 yendiği maçta Davinson Sanchez'in attığı golün pasını verdi. Milli oyuncu böylece forma giydiği son 10 karşılaşmada takımına yaptığı 4 gol 4 asistlik katkıyla yıldızlaştı.
Spor,Çağlar Söyüncü performansıyla beğeni topladı,"Fenerbahçe'nin devre arasında transfer ettiği Çağlar Söyüncü, performansıyla beğeni topluyor. Sarı lacivertli formayı 3 maçta giyen milli oyuncu, başarısını istatistiklere de yansıttı."
Spor,VAR kayıtlarının açıklanacağı gün ve saat belli oldu,"Türkiye Futbol Federasyonu, Süper Lig’in 26. haftasında hakemlerin VAR monitörüne çağrıldığı pozisyonların kayıtlarının sesli ve görüntülü olarak yarın saat 20.00'de TFF Youtube kanalı üzerinden yayınlanacağını duyurdu."
Spor,Kulüpler Birliği Vakfından elektronik bilet açıklaması,"Kulüpler Birliği Vakfı, elektronik bilet satışı için organizasyon ve teknik altyapı kabiliyeti olan firmalarla görüşme kararı alındığını duyurdu."
Spor,Halkbank'ta hedef Şampiyonlar Ligi'nde yarı finale yükselmek,"Halkbank Erkek Voleybol Takımı, CEV Erkekler Şampiyonlar Ligi'nde İtalya'nın Cucine Lube Civitanova takımını eleyerek yarı finale yükselmeyi hedefliyor."
Spor,Trabzonspor sonucu kafa golleriyle alıyor,"Trendyol Süper Lig'de, kötü gidişata Hatayspor ve Pendikspor maçlarını kazanarak dur diyen Trabzonspor, attığı kafa golleriyle zirvede yer alıyor. Süper Lig'de ve Türkiye Kupası'nda oynadığı son 3 resmi maçta atılan kafa golleri dikkat çekti."
Spor,Fenerbahçe'den Süper Kupa finaliyle ilgili açıklama,"Fenerbahçe Kulübü, 29 Aralık 2023'te Suudi Arabistan'da Galatasaray ile yapılması planlanan ancak oynanmayan Süper Kupa finalinin ardından T.C. Cumhurbaşkanlığı İletişim Merkezi’ne (CİMER) yapılan başvurunun cevabını paylaştı."
Spor,Kocaelispor Ertuğrul Sağlam ile yollarını ayırdı,"Trendyol 1. Lig'de mücadele eden Kocaelispor, teknik direktör Ertuğrul Sağlam ile yollarını ayırma kararı aldı."
Spor,"Kaçkar Dağları'nda ""heliski"" heyecanı yaşanıyor","Rize'de gerçekleştirilen ""heliski"" yarışlarında yedinci hafta heyecanı yaşanıyor."
Spor,Sakaryaspor'un yenilmezlik serisi 4 maça çıktı,"Trendyol 1. Lig ekiplerinden Sakaryaspor, 23. haftada evinde ağırladığı Ahlatcı Çorum FK'yi 3-1 yenerek, sezonun ikinci devresindeki yenilmezlik serisini 4 maça çıkardı."
Spor,Kırşehirli öğrencinin Mauro Icardi hayali gerçekleşti,"Kırşehir Valisi Hüdayar Mete Buhara, 11 yaşındaki öğrenci Murat Dağdeviren'in Galatasaray'ın Arjantinli forveti Mauro Icardi ile buluşma hayalini gerçekleştirdi."
Spor,Milli tekvandocular ABD Açık'ta takım halinde üçüncü oldu,"Tekvando Milli Takımı, Amerika Birleşik Devletleri (ABD) Açık'ta takım halinde üçüncü oldu. Milliler, turnuvada ikisi altın 4 madalya kazandı."
Spor,Şampiyonlar Ligi'nde son 16 turu heyecanı devam ediyor,"UEFA Şampiyonlar Ligi'nde son 16 turu, 4 maçla devam edecek."
Spor,Voleybolda iki büyük final Türkiye'de yapılacak,"Türkiye Voleybol Federasyonu (TVF) Başkanı Mehmet Akif Üstündağ, kadınlarda ve erkeklerde CEV Şampiyonlar Ligi finallerine Türkiye'nin ev sahipliği yapacağını açıkladı."
Spor,Süper Lig’in en başarılı yabancı teknik direktörü Markus Gisdol,"Trendyol Süper Lig'in en başarılı yabancı teknik direktörü Yılport Samsunspor’un Alman hocası Markus Gisdol oldu. Gisdol, maç başına 1,61 puan ortalaması ile diğer 5 yabancı teknik direktörün önüne geçti."
Spor,Avrupa Güreş Şampiyonası'nda Türkiye rüzgarı esti,"Paris 2024 Olimpiyat Oyunları öncesinde düzenlenen son Avrupa Güreş Şampiyonası'nda 17 madalya kazanan milliler, başarılı bir performans ortaya koydu."
Spor,Trabzonspor'da son 2 sezonun en golcüsü Trezeguet,"Trendyol Süper Lig'in 26. haftasında deplasmanda Siltaş Yapı Pendikspor'u 2-0 yenen Trabzonspor'da takımının ilk golünü atan Trezeguet, son 2 sezonda takımın en çok gol katkısı sağlayan oyuncusu konumunda bulunuyor."
Spor,Bayer Leverkusen zirvedeki yerlerini sağlamlaştırdı,"Avrupa'nın 5 büyük futbol ligi kabul edilen İngiltere (Premier Lig), İspanya (LaLiga), İtalya (Serie A), Almanya (Bundesliga) ve Fransa'daki (Ligue 1) maçlara, hafta sonu devam edildi."
Spor,Üniversitelerdeki lisanslı sporcu sayısı 38 bine ulaştı,"Türkiye Üniversite Sporları Federasyonu Başkanı Prof. Dr. Mehmet Günay, üniversitelerdeki lisanslı sporcu sayısının 38 bine ulaştığını söyledi."
Spor,TransAnatolia 14. yıl rotası Mersin’den Van’a,"TransAnatolia Rally Raid 2024 yılı takvimi belli oldu. TransAnatolia 14. yılında, 31 Ağustos-7 Eylül tarihleri arasında Mersin’de başlayıp, Van’da son bulacak."
Spor,Dört Büyükler finansal performansta en kötü 10 takım arasında,"Trendyol Süper Lig'in ""Dört Büyükler""i Beşiktaş, Trabzonspor, Galatasaray ve Fenerbahçe, finansal performans bakımından Avrupa'nın en kötü 10 takımı arasında yer aldı."
Spor,Bayern Münih kötü gidişi durduramıyor,"Deplasmanda Bochum'a 3-2 yenilen Bayern Münih, lider Bayer Leverkusen ile arasındaki puan farkı 8'e çıktı. Kırmızı beyazlı ekip böylece Bundesliga ve Şampiyonlar Ligi'nde son 9 gün içinde oynadığı 3 maçı da kaybederek taraftarlarını hayal kırıklığına uğrattı."
Spor,Gaziantep FK evinde kazanamıyor,"Trendyol Süper Lig'in 26. haftasında konuk ettiği Yılport Samsunspor ile 1-1 berabere kalan Gaziantep FK, iç sahada oynadığı son 8 maçı kazanamadı."
Spor,73. NBA All-Star maçını Doğu Karması kazandı,"Amerikan Basketbol Ligi'nin (NBA) 73. all-star maçında Doğu Karması, Batı Karması'nı 211-186 yendi."
Spor,GMG Kastamonuspor'da Levent Eriş dönemi sona erdi,"TFF 2. Lig Kırmızı Grup'ta mücadele eden GMG Kastamonuspor, teknik direktör Levent Eriş ile yollarını ayırma kararı aldı."
Spor,Motor tutkunu 12 yaşındaki Zeynep’in en büyük hayali pistlerde yarışmak,"Yozgat’ta babasına özenerek 4 yaşında motosiklet sürmeye başlayan 12 yaşındaki Zeynep Irgav, motosiklet tutkunu olan babasından aldığı sürüş eğitimleriyle motokros yarışlarına katılıp Türkiye şampiyonluğuna ulaşmayı hedefliyor."
Spor,Trabzonspor'da Thomas Meunier farkını gösterdi,"Trabzonspor'un devre arasında Bundesliga ekiplerinden Borussia Dortmund'dan transfer ettiği Thomas Meunier, 3 maçta 3 asist yaparak bordo-mavili takımın hücum hattına katkı sağladı."
Spor,Görme engelli milli judoculardan 2 madalya,"IBSA Judo Grand Prix'sinin Almanya ayağında mücadele eden Nazan Akın Güneş ve İbrahim Bölükbaşı, gümüş madalya kazandı."
Spor,Serbest Stil Güreş Milli Takımı 31 yıl sonra Avrupa şampiyonu oldu,"Serbest Stil Güreş Milli Takımı, 1993'ten bu yana ilk kez Avrupa şampiyonluğuna ulaştı."
Spor,"Bakan Bak, 11. kez Avrupa şampiyonu olan milli güreşçi Taha Akgül'ü tebrik etti","Gençlik ve Spor Bakanı Osman Aşkın Bak, serbest stil 125 kiloda Avrupa şampiyonluğuna ulaşan milli güreşçi Taha Akgül'ü, yayımladığı mesajla kutladı."
Spor,Türkiye Büyükler Ferdi Salon Atletizm Şampiyonası rekorlarla sona erdi,"Türkiye Büyükler Ferdi Salon Atletizm Şampiyonası, kırılan rekorlarla tamamlandı."
Spor,Taha Akgül 11. kez Avrupa Şampiyonu,"Milli güreşçi Taha Akgül, kariyerinin 11'inci Avrupa şampiyonluğuna ulaştı."
Spor,Dilara Narin'den 2 bronz madalya,"Milli halterci Dilara Narin, Bulgaristan'da düzenlenen Avrupa Şampiyonası'nda kadınlar 81 kiloda silkmede 125, toplamda da 222 kiloyla 2 bronz madalyanın sahibi oldu."
Spor,Feyzullah Aktürk üst üste 3. Avrupa şampiyonluğunu elde etti,"Avrupa Güreş Şampiyonası'nda mücadele eden Feyzullah Aktürk, serbest stil 92 kiloda altın madalya kazandı."
Spor,Abdullah Avcı: Oyunu domine ettik,"Trendyol Süper Lig'in 26. haftasında konuk olduğu Siltaş Yapı Pendikspor'u 2-0 yenen Trabzonspor'da teknik direktör Abdullah Avcı, 35. dakikadan sonra oyunu domine ettiklerini söyledi."
Spor,"Milli güreşçiler Demirtaş'tan gümüş, Göçen'den bronz madalya","Avrupa Güreş Şampiyonası'nda mücadele eden milli sporculardan Soner Demirtaş gümüş, Osman Göçen ise bronz madalya kazandı."
Spor,LaLiga lideri Real Madrid deplasmanında puan kaybetti,"İspanya Birinci Futbol Ligi (LaLiga) lideri Real Madrid, deplasmanda Rayo Vallecano ile 1-1 berabere kaldı."
Spor,Femke Bol'dan dünya rekoru,"Hollandalı atlet Femke Bol, kadınlar 400 metrede 49.24'lük derecesiyle dünya rekoru kırdı."
Spor,Galatasaray Ankara’da liderliğini sürdürdü,"Lider Galatasaray, Trendyol Süper Lig'in 26. haftasında deplasmanda MKE Ankaragücü’nü 3-0 mağlup etti."
Spor,Fenerbahçe Beko kupasını aldı,"Basketbol Erkekler ING Türkiye Kupası finalinde Anadolu Efes'i 80-67 yenen Fenerbahçe Beko, kupasını düzenlenen törenle aldı."
